['num_cycles_list              ', 19815, 19829, 19848, 19830, 19874, 19916, 19937, 19956, 20039, 20048, 19988, 20008, 20052, 20112, 20111, 20125, 20065, 20182, 20096, 20036, 20096, 20059, 20048, 20114, 20102, 20128, 20148, 20113, 20086, 20124, 20130, 20130, 20187, 20252, 20102, 20077, 20103, 20157, 20173, 20162, 20284, 20239, 20228, 20113, 20123, 20191, 20150, 20191, 20168, 20222, 20249, 20153, 20259, 20159, 20197, 20165, 20192, 20219, 20188, 20248, 20191, 20191, 20191, 20191, 20204, 20186, 20182, 20216, 20144, 20130, 20127, 20199, 20245, 20208, 20142, 20224, 20155, 20213, 20243, 20180, 20163, 20187, 20131, 20147, 20119, 20156, 20157, 20116, 20085, 20156, 20208, 20191, 20213, 20109, 20190, 20158, 20138, 20123, 20119, 20155, 20110, 20147, 20120, 20127, 20231, 20171, 20199, 20143, 20127, 20141, 20116, 20124, 20117, 20211, 20169, 20144, 20179, 20141, 20141, 20131, 20141, 20181, 20133, 20196, 20141, 20141, 20141, 20141]
['CPI_list                     ', 1.9956692516869776, 1.997079262765636, 1.9989928492295297, 1.997179977842683, 2.0016114412327526, 2.005841474468728, 2.007956491086716, 2.0098700775506093, 2.018229428945513, 2.0191358646389364, 2.0130929600161145, 2.015107261557055, 2.0195387249471244, 2.0255816295699467, 2.0254809144928996, 2.026890925571558, 2.020848020948736, 2.032631684963239, 2.023970188337194, 2.0179272837143722, 2.023970188337194, 2.020243730486454, 2.0191358646389364, 2.0257830597240405, 2.0245744787994764, 2.0271930708026993, 2.02920737234364, 2.025682344646994, 2.022963037566724, 2.0267902104945112, 2.027394500956793, 2.027394500956793, 2.033135260348474, 2.0396817403565315, 2.0245744787994764, 2.0220566018733006, 2.0246751938765235, 2.030113808037063, 2.0317252492698157, 2.0306173834222982, 2.0429046228220367, 2.03837244435492, 2.0372645785074024, 2.025682344646994, 2.026689495417464, 2.0335381206566625, 2.0294088024977337, 2.0335381206566625, 2.0312216738845805, 2.0366602880451206, 2.03937959512539, 2.029710947728875, 2.0403867458958604, 2.0303152381911573, 2.0341424111189443, 2.0309195286534396, 2.033638835733709, 2.036358142813979, 2.033235975425521, 2.0392788800483435, 2.0335381206566625, 2.0335381206566625, 2.0335381206566625, 2.0335381206566625, 2.0348474166582737, 2.0330345452714274, 2.032631684963239, 2.0360559975828383, 2.028804512035452, 2.027394500956793, 2.027092355725652, 2.0343438412730386, 2.038976734817202, 2.0352502769664618, 2.0286030818813576, 2.0368617181992144, 2.0299123778829693, 2.035753852351697, 2.038775304663108, 2.032430254809145, 2.0307180984993454, 2.033135260348474, 2.02749521603384, 2.029106657266593, 2.0262866351092756, 2.030013092960016, 2.030113808037063, 2.0259844898781347, 2.0228623224896767, 2.030013092960016, 2.0352502769664618, 2.0335381206566625, 2.035753852351697, 2.0252794843388053, 2.0334374055796154, 2.03021452311411, 2.0282002215731696, 2.026689495417464, 2.0262866351092756, 2.0299123778829693, 2.0253801994158525, 2.029106657266593, 2.0263873501863228, 2.027092355725652, 2.0375667237385438, 2.0315238191157214, 2.0343438412730386, 2.0287037969584047, 2.027092355725652, 2.0285023668043105, 2.0259844898781347, 2.0267902104945112, 2.026085204955182, 2.035552422197603, 2.0313223889616276, 2.028804512035452, 2.032329539732098, 2.0285023668043105, 2.0285023668043105, 2.02749521603384, 2.0285023668043105, 2.0325309698861918, 2.0276966461879344, 2.0340416960418977, 2.0285023668043105, 2.0285023668043105, 2.0285023668043105, 2.0285023668043105]
['cache_size_list              ', 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96, 98, 100, 102, 104, 106, 108, 110, 112, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 134, 136, 138, 140, 142, 144, 146, 148, 150, 152, 154, 156, 158, 160, 162, 164, 166, 168, 170, 172, 174, 176, 178, 180, 182, 184, 186, 188, 190, 192, 194, 196, 198, 200, 202, 204, 206, 208, 210, 212, 214, 216, 218, 220, 222, 224, 226, 228, 230, 232, 234, 236, 238, 240, 242, 244, 246, 248, 250, 252, 254, 256]
['num_valid_entries_list       ', 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 39, 41, 43, 45, 47, 48, 50, 51, 53, 55, 57, 59, 61, 64, 66, 66, 69, 73, 72, 74, 71, 74, 75, 76, 79, 78, 80, 79, 82, 83, 85, 86, 88, 89, 91, 92, 94, 95, 95, 97, 98, 100, 101, 102, 102, 102, 101, 102, 99, 106, 108, 108, 108, 113, 107, 107, 110, 117, 115, 113, 114, 114, 116, 115, 117, 117, 117, 119, 121, 118, 122, 121, 120, 119, 122, 121, 123, 125, 123, 125, 128, 127, 129, 129, 129, 129, 130, 129, 137, 133, 134, 135, 135, 135, 135, 137, 139, 138, 139, 143, 141, 142, 141, 143, 140, 143, 143, 144, 144]
['num_branch_instr_list        ', 1813, 1813, 1813, 1813, 1813, 1813, 1813, 1813, 1813, 1813, 1813, 1814, 1814, 1814, 1814, 1814, 1816, 1814, 1815, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1813, 1816, 1816, 1816, 1816, 1815, 1816, 1816, 1816, 1815, 1816, 1816, 1816, 1816, 1816, 1815, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1815, 1816, 1816, 1816, 1816, 1815, 1816, 1815, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1815, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1814, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1815, 1816, 1815, 1816, 1816, 1816, 1816, 1816, 1815, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816, 1816]
['num_predictions_list         ', 708, 717, 754, 777, 780, 817, 832, 842, 854, 871, 881, 906, 931, 969, 979, 987, 974, 1000, 1027, 1049, 1048, 1039, 1055, 1045, 1052, 1061, 1063, 1091, 1092, 1110, 1108, 1112, 1072, 1148, 1136, 1104, 1179, 1136, 1159, 1124, 1117, 1114, 1200, 1190, 1207, 1185, 1206, 1195, 1181, 1205, 1193, 1241, 1231, 1232, 1257, 1228, 1244, 1233, 1255, 1261, 1269, 1269, 1269, 1269, 1293, 1261, 1280, 1312, 1280, 1305, 1250, 1276, 1280, 1265, 1333, 1307, 1353, 1323, 1308, 1296, 1277, 1305, 1322, 1308, 1344, 1316, 1334, 1331, 1291, 1331, 1320, 1337, 1327, 1332, 1328, 1343, 1300, 1345, 1326, 1347, 1335, 1367, 1326, 1355, 1311, 1352, 1337, 1369, 1349, 1370, 1357, 1347, 1352, 1351, 1351, 1367, 1354, 1370, 1370, 1350, 1370, 1344, 1366, 1363, 1370, 1370, 1370, 1370]
['num_corr_predictions_list    ', 643, 647, 674, 692, 688, 709, 715, 720, 725, 736, 747, 768, 777, 795, 803, 808, 809, 813, 841, 867, 857, 853, 867, 848, 858, 861, 862, 889, 894, 904, 901, 905, 862, 929, 928, 917, 963, 926, 938, 915, 890, 897, 963, 973, 985, 955, 979, 962, 954, 968, 951, 1009, 981, 999, 1015, 990, 1005, 987, 1014, 1008, 1024, 1024, 1024, 1024, 1039, 1023, 1032, 1061, 1036, 1066, 1016, 1030, 1024, 1021, 1081, 1052, 1095, 1071, 1041, 1047, 1024, 1053, 1077, 1060, 1096, 1066, 1078, 1085, 1050, 1078, 1061, 1073, 1066, 1082, 1073, 1085, 1054, 1094, 1081, 1090, 1091, 1110, 1078, 1101, 1049, 1091, 1077, 1112, 1098, 1113, 1107, 1095, 1102, 1086, 1092, 1110, 1091, 1113, 1113, 1095, 1113, 1082, 1111, 1098, 1113, 1113, 1113, 1113]
['num_incorr_inpredictions_list', 65, 70, 80, 85, 92, 108, 117, 122, 129, 135, 134, 138, 154, 174, 176, 179, 165, 187, 186, 182, 191, 186, 188, 197, 194, 200, 201, 202, 198, 206, 207, 207, 210, 219, 208, 187, 216, 210, 221, 209, 227, 217, 237, 217, 222, 230, 227, 233, 227, 237, 242, 232, 250, 233, 242, 238, 239, 246, 241, 253, 245, 245, 245, 245, 254, 238, 248, 251, 244, 239, 234, 246, 256, 244, 252, 255, 258, 252, 267, 249, 253, 252, 245, 248, 248, 250, 256, 246, 241, 253, 259, 264, 261, 250, 255, 258, 246, 251, 245, 257, 244, 257, 248, 254, 262, 261, 260, 257, 251, 257, 250, 252, 250, 265, 259, 257, 263, 257, 257, 255, 257, 262, 255, 265, 257, 257, 257, 257]
['fract_used_cache_list        ', 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 97.5, 97.61904761904762, 97.72727272727273, 97.82608695652173, 97.91666666666667, 96.0, 96.15384615384616, 94.44444444444444, 94.64285714285714, 94.82758620689656, 95.0, 95.16129032258064, 95.3125, 96.96969696969697, 97.05882352941177, 94.28571428571429, 95.83333333333333, 98.64864864864865, 94.73684210526316, 94.87179487179488, 88.75, 90.2439024390244, 89.28571428571429, 88.37209302325581, 89.77272727272727, 86.66666666666667, 86.95652173913044, 84.04255319148936, 85.41666666666667, 84.6938775510204, 85.0, 84.31372549019608, 84.61538461538461, 83.9622641509434, 84.25925925925925, 83.63636363636364, 83.92857142857143, 83.33333333333333, 81.89655172413794, 82.20338983050847, 81.66666666666667, 81.9672131147541, 81.45161290322581, 80.95238095238095, 79.6875, 78.46153846153847, 76.51515151515152, 76.11940298507463, 72.79411764705883, 76.81159420289855, 77.14285714285714, 76.05633802816901, 75.0, 77.3972602739726, 72.29729729729729, 71.33333333333333, 72.36842105263158, 75.97402597402598, 73.71794871794872, 71.51898734177215, 71.25, 70.37037037037037, 70.73170731707317, 69.27710843373494, 69.64285714285714, 68.82352941176471, 68.02325581395348, 68.39080459770115, 68.75, 66.29213483146067, 67.77777777777777, 66.48351648351648, 65.21739130434783, 63.97849462365591, 64.8936170212766, 63.68421052631579, 64.0625, 64.43298969072166, 62.755102040816325, 63.13131313131313, 64.0, 62.87128712871287, 63.23529411764706, 62.62135922330097, 62.01923076923077, 61.42857142857143, 61.320754716981135, 60.2803738317757, 63.425925925925924, 61.00917431192661, 60.90909090909091, 60.810810810810814, 60.267857142857146, 59.73451327433628, 59.21052631578947, 59.56521739130435, 59.91379310344828, 58.97435897435897, 58.898305084745765, 60.08403361344538, 58.75, 58.67768595041322, 57.78688524590164, 58.13008130081301, 56.45161290322581, 57.2, 56.74603174603175, 56.69291338582677, 56.25]
['fract_unused_cache_list      ', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 2.3809523809523796, 2.2727272727272663, 2.173913043478265, 2.0833333333333286, 4.0, 3.8461538461538396, 5.555555555555557, 5.357142857142861, 5.172413793103445, 5.0, 4.838709677419359, 4.6875, 3.030303030303031, 2.941176470588232, 5.714285714285708, 4.166666666666671, 1.3513513513513544, 5.263157894736835, 5.128205128205124, 11.25, 9.756097560975604, 10.714285714285708, 11.627906976744185, 10.227272727272734, 13.333333333333329, 13.043478260869563, 15.957446808510639, 14.583333333333329, 15.306122448979593, 15.0, 15.686274509803923, 15.384615384615387, 16.037735849056602, 15.740740740740748, 16.36363636363636, 16.07142857142857, 16.66666666666667, 18.103448275862064, 17.79661016949153, 18.33333333333333, 18.032786885245898, 18.548387096774192, 19.04761904761905, 20.3125, 21.538461538461533, 23.484848484848484, 23.88059701492537, 27.205882352941174, 23.188405797101453, 22.85714285714286, 23.94366197183099, 25.0, 22.602739726027394, 27.70270270270271, 28.66666666666667, 27.631578947368425, 24.025974025974023, 26.282051282051285, 28.481012658227854, 28.75, 29.629629629629633, 29.268292682926827, 30.722891566265062, 30.35714285714286, 31.17647058823529, 31.976744186046517, 31.60919540229885, 31.25, 33.70786516853933, 32.22222222222223, 33.51648351648352, 34.78260869565217, 36.02150537634409, 35.1063829787234, 36.31578947368421, 35.9375, 35.567010309278345, 37.244897959183675, 36.86868686868687, 36.0, 37.12871287128713, 36.76470588235294, 37.37864077669903, 37.98076923076923, 38.57142857142857, 38.679245283018865, 39.7196261682243, 36.574074074074076, 38.99082568807339, 39.09090909090909, 39.189189189189186, 39.732142857142854, 40.26548672566372, 40.78947368421053, 40.43478260869565, 40.08620689655172, 41.02564102564103, 41.101694915254235, 39.91596638655462, 41.25, 41.32231404958678, 42.21311475409836, 41.86991869918699, 43.54838709677419, 42.8, 43.25396825396825, 43.30708661417323, 43.75]
